"","pi_D08","is_ok","CO2.PPM.","SIO2.WT..","TIO2.WT..","AL2O3.WT..","FeOT_calc","MGO.WT..","CAO.WT..","NA2O.WT..","K2O.WT..","P2O5.WT..","NB.PPM.","CE.PPM.","LA.PPM."
"1",NA,0,2.65321251377534,50.28,1.8,16.17,8.71,6.76,14,2.11,0.21,NA,NA,NA,NA
"2",NA,0,2.73239375982297,49.74,1.64,15.87,8.46,6.75,14.2,2.06,0.23,NA,NA,NA,NA
"3",NA,0,2.8394780473742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,0,2.78746047451842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,0,2.94200805302231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,0,2.76417613239033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,0,2.78675142214556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,0,2.59439255037543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-1.46012855342508,1,2.55630250076729,51,1.21,20.4,5.48,4.66,13,3.52,0.58,0.14,2.7,14.5,5.96
"10",1.27848988136807,1,2.69897000433602,45,1.2,19.2,6.13,4.39,18.7,3.07,0.53,0.14,2.4,15.6,6.57
"11",1.94915889628416,1,2.70757017609794,43.9,1.28,18.4,7.64,4.99,18.4,3.49,0.66,0.18,3,19.8,8.45
"12",NA,0,2.89652621748956,47.53,2.32,14.08,14.06,5.99,12.55,2.65,0.292,0.24,NA,NA,NA
"13",NA,0,2.84198480459011,48.56,3.72,14.71,8.84,9.41,11.52,2.4,0.537,0.5,NA,NA,NA
"14",NA,0,2.1846914308176,46.75,1.8,14.58,11.97,7.26,14.11,2.33,0.606,0.24,NA,NA,NA
"15",NA,0,2.49692964807321,49.35,3.03,14.66,9.6,8.44,12.15,1.95,0.512,0.32,NA,NA,NA
"16",NA,0,1.80617997398389,46.22,2.34,13.85,13.16,8.86,13,1.93,0.652,0.36,NA,NA,NA
"17",NA,0,2.87040390527903,46.66,2.22,13.26,12.11,10.4,12.08,2.27,0.522,0.3,NA,NA,NA
"18",NA,0,1.95904139232109,47.19,2.1,13.37,12.68,8.84,13.63,1.99,0.351,0.25,NA,NA,NA
"19",NA,0,1.51851393987789,47.03,2.08,13.98,12.56,7.18,14.17,2.16,0.346,0.22,NA,NA,NA
"20",NA,0,1.64345267648619,44.3,2.43,13.62,14.07,7.42,13.1,3,0.982,0.33,NA,NA,NA
"21",NA,0,2.93550726582471,47.05,2.26,14.03,12.22,7.46,13.4,2.25,0.527,0.27,NA,NA,NA
"22",NA,0,2.02118929906994,51.73,1.93,12.87,8.79,10.6,9.39,2.28,0.372,0.39,NA,NA,NA
"23",NA,0,1.93951925261862,51.87,1.65,12.74,9.58,10.29,9.38,2.48,0.331,0.42,NA,NA,NA
"24",NA,0,1.85733249643127,52.56,2.18,12.54,8.51,11.54,9.18,2.38,0.34,0.24,NA,NA,NA
"25",NA,0,2.1846914308176,52.5,1.93,12.54,9.74,10.48,9.02,2.35,0.368,0.3,NA,NA,NA
"26",NA,0,1.6232492903979,50.6,2.54,13.36,7.89,10.64,10.93,2.16,0.393,0.3,NA,NA,NA
"27",NA,0,1.90848501887865,50.88,2.98,13.02,8.49,11.2,10.62,2.02,0.355,0.27,NA,NA,NA
"28",NA,0,1.82607480270083,50.73,2.56,12.98,8.52,11.48,10.41,2.24,0.37,0.19,NA,NA,NA
"29",NA,0,1.74036268949424,50.82,2.63,12.99,8.22,11.07,10.48,2.09,0.396,0.25,NA,NA,NA
"30",NA,0,2.34830486304816,52.25,2.24,12.65,8.1,11.36,9.33,2.31,0.409,0.29,NA,NA,NA
"31",NA,0,1.79934054945358,50.13,2.54,13.29,7.96,11.54,11.08,2.02,0.42,0.26,NA,NA,NA
"32",NA,0,1.81291335664286,51.33,2.12,12.94,8.46,11.22,9.8,2.09,0.851,0.21,NA,NA,NA
